intensity/q,density/k,velocity/u
1.118611008,1,1.118611008
3.44455074,1,3.44455074
10.88664046,1,10.88664046
10.23845931,0.675,15.16808787
5.099778918,0.5,10.19955784
5.099778918,0.5,10.19955784
6.359201694,0.5,12.71840339
0.629009694,0.095,6.621154674
9.887103558,0.295,33.51560528
0.819971118,0.5,1.639942236
0.819971118,0.5,1.639942236
3.63992526,0.56,6.499866536
10.49472914,1,10.49472914
10.49472914,1,10.49472914
10.5148859,1,10.5148859
10.54512106,1,10.54512106
5.75424045,0.545,10.55823936
5.270563926,0.5,10.54112785
3.758759316,0.355,10.58805441
2.72944701,0.245,11.14060004
13.83646311,0.5,27.67292622
8.272072134,0.5,16.54414427
3.598682058,0.5,7.197364116
3.598682058,0.5,7.197364116
3.598682058,0.5,7.197364116
0.365971572,0.05,7.31943144
0.115338528,0.015,7.6892352
3.530301408,0.5,7.060602816
15.00221439,0.585,25.64481092
5.668732026,1,5.668732026
2.066593878,1,2.066593878
8.652797658,1,8.652797658
9.073193616,1,9.073193616
6.271880562,1,6.271880562
10.28298087,0.79,13.01643148
8.113353858,0.5,16.22670772
3.222613206,0.2,16.11306603
3.752059248,0.425,8.828374701
4.37678955,0.5,8.7535791
4.37678955,0.5,8.7535791
5.785240986,0.65,8.900370748
9.149354064,1,9.149354064
9.149354082,1,9.149354082
9.149354046,1,9.149354046
9.149354064,1,9.149354064
6.382978452,0.685,9.318216718
4.772564532,0.5,9.545129064
4.772564514,0.5,9.545129028
1.183596912,0.125,9.468775296
0.70215831,0.065,10.80243554
5.391366084,0.5,10.78273217
5.391366084,0.5,10.78273217
5.391366084,0.5,10.78273217
5.391366084,0.5,10.78273217
5.391366102,0.5,10.7827322
5.391366084,0.5,10.78273217
2.949645168,0.275,10.72598243
2.426477886,0.415,5.846934665
2.426477886,0.29,8.367165124
4.998725028,0.415,12.04512055
5.9922783,0.5,11.9845566
6.121044432,0.5,12.24208886
6.06476061,0.5,12.12952122
6.064014726,0.5,12.12802945
6.192820854,0.5,12.38564171
0.56635605,0.045,12.58569
1.189910214,0.22,5.408682791
7.688048634,0.5,15.37609727
7.89623442,0.5,15.79246884
7.89623442,0.5,15.79246884
7.896234438,0.5,15.79246888
3.433337874,0.295,11.63843347
6.726856392,0.34,19.78487174
9.865870452,0.5,19.7317409
11.66886248,0.695,16.78973019
2.158640154,0.93,2.321118445
6.934814964,0.865,8.017127126
5.691256722,0.595,9.565137348
5.753148336,0.5,11.50629667
5.753148354,0.5,11.50629671
5.742567252,0.5,11.4851345
5.740700022,0.5,11.48140004
11.88142063,0.76,15.6334482
11.98179878,0.52,23.04192074
5.7512619,0.94,6.118363723
0.968146092,1,0.968146092
8.311478976,1,8.311478976
9.508418208,1,9.508418208
11.61489908,0.955,12.16219799
6.089876406,0.5,12.17975281
6.099989958,0.5,12.19997992
5.756844834,0.47,12.24860603
10.69783382,0.78,13.71517156
12.61794164,1,12.61794164
8.312863518,1,8.312863518
13.13021038,1,13.13021038
12.35671754,1,12.35671754
12.81963902,1.265,10.134102
12.63997658,1.005,12.57709112
6.900252084,0.5,13.80050417
6.900252084,0.5,13.80050417
12.95452395,1.07,12.10703173
15.77521429,1.34,11.77254798
11.05115303,1,11.05115303
11.05115303,1,11.05115303
11.3256236,1,11.3256236
14.34371026,1.175,12.20741298
14.98157725,1.24,12.08191713
5.82882345,0.5,11.6576469
7.528611294,0.5,15.05722259
7.677955494,0.5,15.35591099
8.628662556,1,8.628662556
9.810968274,0.615,15.95279394
1.954762668,0.17,11.49860393
2.111846418,0.175,12.06769382
6.062844294,0.5,12.12568859
6.062844276,0.5,12.12568855
6.062844294,0.5,12.12568859
8.71868124,0.7,12.45525891
12.65256877,1,12.65256877
5.671629288,0.62,9.147789174
9.524317266,0.26,36.63198948
18.32466755,0.5,36.6493351
7.075926612,0.5,14.15185322
3.239072334,0.21,15.42415397
3.165001596,0.5,6.330003192
16.73385129,0.5,33.46770258
2.54794842,0.5,5.09589684
0.792423954,0.5,1.584847908
7.35480081,0.5,14.70960162
4.819066596,0.5,9.638133192
4.075946604,0.485,8.404013616
1.719205794,0.5,3.438411588
5.505497406,0.5,11.01099481
5.728941846,0.5,11.45788369
6.206973858,0.61,10.17536698
13.23304169,1,13.23304169
16.00300127,1,16.00300127
10.92740769,0.705,15.49986906
11.93984714,0.805,14.83210825
2.65609107,1,2.65609107
8.787213198,1,8.787213198
7.432576902,0.835,8.901289703
4.793949396,0.5,9.587898792
2.472886872,0.5,4.945773744
9.790117452,0.77,12.71443825
6.959893842,0.775,8.980508183
4.40655534,0.5,8.81311068
10.79985931,0.5,21.59971862
6.457891626,0.5,12.91578325
1.634798538,0.5,3.269597076
1.634798538,0.5,3.269597076
2.105760528,0.5,4.211521056
2.166155676,0.185,11.7089496
4.282906122,0.25,17.13162449
4.798975896,0.5,9.597951792
4.798975878,0.5,9.597951756
2.002991202,0.5,4.005982404
17.17648992,0.95,18.08051571
5.127666912,1,5.127666912
7.85520666,1,7.85520666
8.264039418,0.845,9.779928305
4.99038462,0.5,9.98076924
5.25444705,0.5,10.5088941
5.304744648,0.5,10.6094893
2.143171674,0.2,10.71585837
7.187384592,0.315,22.81709394
5.512367016,0.5,11.02473403
5.512367034,0.5,11.02473407
5.512367016,0.5,11.02473403
9.462484548,0.5,18.9249691
2.813029794,0.37,7.602783227
1.409845068,0.045,31.3298904
8.451443952,0.5,16.9028879
4.503581244,0.5,9.007162488
9.84394404,0.5,19.68788808
7.157245716,0.5,14.31449143
4.63393998,0.425,10.90338819
3.299795172,0.24,13.74914655
6.93028989,0.5,13.86057978
6.930289872,0.5,13.86057974
6.93028989,0.5,13.86057978
6.93028989,0.5,13.86057978
9.861455322,0.715,13.79224521
6.886094148,0.5,13.7721883
6.886094148,0.5,13.7721883
23.49406784,0.675,34.80602643
8.268901236,0.715,11.56489683
0.616666698,0.5,1.233333396
6.683757696,0.5,13.36751539
8.296528716,0.5,16.59305743
5.985479484,0.36,16.6263319
2.681595018,0.27,9.9318334
4.9256748,0.5,9.8513496
4.925674782,0.5,9.851349564
7.33116618,0.5,14.66233236
7.51222467,0.5,15.02444934
5.754262428,0.5,11.50852486
2.869402122,0.375,7.651738992
3.525287022,0.425,8.294792993
3.525287022,0.48,7.344347963
2.68711101,0.32,8.397221906
4.423135986,0.5,8.846271972
4.552985862,0.5,9.105971724
4.55298588,0.5,9.10597176
6.771086874,0.5,13.54217375
6.816354264,0.5,13.63270853
6.196340124,0.455,13.61832994
7.631260452,0.285,26.77635246
3.907715292,0.745,5.245255426
7.693783056,0.985,7.810947265
12.93173953,1,12.93173953
8.93409615,1,8.93409615
13.91847894,1,13.91847894
10.07956726,0.745,13.52962049
5.655191166,0.5,11.31038233
1.24816815,0.2,6.24084075
3.259887354,0.335,9.731007027
4.842228852,0.5,9.684457704
4.84222887,0.5,9.68445774
4.84222887,0.5,9.68445774
4.84222887,0.5,9.68445774
4.84222887,0.5,9.68445774
4.84222887,0.5,9.68445774
3.686739444,0.385,9.575946608
2.605717476,0.355,7.340049228
3.660931566,0.5,7.321863132
3.660931566,0.5,7.321863132
3.533164632,0.5,7.066329264
3.285146466,0.5,6.570292932
3.285146448,0.5,6.570292896
3.285146448,0.5,6.570292896
3.285146466,0.5,6.570292932
3.285146448,0.5,6.570292896
3.285146466,0.5,6.570292932
2.828376018,0.43,6.577618647
2.586127284,0.345,7.496021113
2.586127284,0.1,25.86127284
2.090632518,0.34,6.148919171
3.089364516,0.5,6.178729032
3.014779662,0.5,6.029559324
2.919853494,0.5,5.839706988
2.919853494,0.5,5.839706988
2.919853494,0.5,5.839706988
2.904059124,0.5,5.808118248
2.896279794,0.5,5.792559588
5.584330224,0.5,11.16866045
5.525188794,0.5,11.05037759
0.899187426,0.5,1.798374852
0.899187444,0.5,1.798374888
0.337430016,0.19,1.775947453
2.25425916,0.135,16.698216
8.47338696,0.5,16.94677392
5.585420304,0.5,11.17084061
11.65132735,0.5,23.3026547
8.035606224,0.495,16.23354793
0.82635039,0.06,13.7725065
6.66398754,0.5,13.32797508
6.656063058,0.5,13.31212612
6.349856886,0.5,12.69971377
10.02275158,0.805,12.45062308
12.38272747,1,12.38272747
9.394943004,0.76,12.36176711
7.736847948,0.615,12.58024057
11.28339059,1,11.28339059
13.09314974,1,13.09314974
8.457257934,0.58,14.5814792
6.187572018,0.5,12.37514404
6.003733302,0.5,12.0074666
2.941368534,0.245,12.00558585
15.75390082,0.345,45.66348063
2.703434202,0.5,5.406868404
2.076394932,0.5,4.152789864
2.076394914,0.5,4.152789828
10.60905859,0.5,21.21811718
2.780816544,0.2,13.90408272
3.772124352,0.25,15.08849741
8.402904738,0.5,16.80580948
7.905772368,0.5,15.81154474
7.917490998,0.5,15.834982
7.815998232,0.5,15.63199646
0.185709312,0.01,18.5709312
5.212660158,0.455,11.45639595
5.733284058,0.5,11.46656812
5.73328404,0.5,11.46656808
5.733284058,0.5,11.46656812
5.733284058,0.5,11.46656812
5.733284058,0.5,11.46656812
2.12091957,0.185,11.46443011
0,0,0
5.846896782,0.5,11.69379356
5.846896782,0.5,11.69379356
5.846896782,0.5,11.69379356
5.8468968,0.5,11.6937936
5.846896782,0.5,11.69379356
1.488148992,0.125,11.90519194
0.04191399,0.34,0.123276441
0.061655004,0.5,0.123310008
0.061655004,0.5,0.123310008
0.061655004,0.5,0.123310008
0.061655004,0.5,0.123310008
0.061655022,0.5,0.123310044
0.061655004,0.5,0.123310008
0.061655004,0.5,0.123310008
0.061655004,0.5,0.123310008
0.061655004,0.5,0.123310008
